image, root, root_name, position, angle, posX, posY, root_order, root_ontology, date, growth
A3_R010.rsml, 5ba2225e-f801-463e-a5e9-da509faeadeb, lat_3, 2.0890734, 0.0, 8.326966, 3.4057167, 1,  Lateral root,  14, -0.06701541
A3_R010.rsml, f69db9b9-c195-45fb-8e64-ba426ffdb68b, lat_2, 0.35684732, 0.0, 10.78865, 2.8088167, 1,  Lateral root,  7, 0.08606062
A3_R010.rsml, f69db9b9-c195-45fb-8e64-ba426ffdb68b, lat_2, 1.4217911, 0.0, 1,  Lateral root,  7, Infinity
A3_R010.rsml, 5914b041-ae5a-4ff6-ab67-cc841170728d, lat_1, 0.72937816, 0.0, 11.123083, 2.9717999, 1,  Lateral root,  7, 0.18107396
A3_R010.rsml, 5914b041-ae5a-4ff6-ab67-cc841170728d, lat_1, 2.9507833, 0.0, 1,  Lateral root,  7, Infinity
A3_R010.rsml, a1a7c44f-f3f4-4742-a742-637133ae4b59, lat_1, 1.0732938, 0.0, 10.231967, 6.3013167, 1,  Lateral root,  11, 0.2147058
A3_R010.rsml, 46ae44d0-d928-47a2-95a7-365411082bdd, lat_1, 2.6720562, 0.0, 8.528049, 7.3808165, 1,  Lateral root,  14, 0.37981194
A3_R010.rsml, b64e17ee-d5d9-4ea2-8e1a-6e1d9306261a, lat_1, 1.3505765, 0.0, 10.303933, 6.9214997, 1,  Lateral root,  11, 0.33586773
B1_R012.rsml, b7d2a1bf-ad41-437c-b803-af341c254514, root_0, 1.6848018, 0.0, 10.4902, 4.6884165, 0,  Root,  3, 0.5575645
B1_R012.rsml, b7d2a1bf-ad41-437c-b803-af341c254514, root_0, 6.8999963, 0.0, 11.573934, 9.68375, 0,  Root,  7, 1.3037987
B1_R012.rsml, b7d2a1bf-ad41-437c-b803-af341c254514, root_0, 10.985384, 0.0, 11.078633, 13.688483, 0,  Root,  11, 1.0213469
B1_R012.rsml, b7d2a1bf-ad41-437c-b803-af341c254514, root_0, 14.472125, 0.0, 10.568517, 17.111134, 0,  Root,  14, 1.1622471
B1_R012.rsml, 8bb467db-ed0a-4d83-85e6-0b695f5f2235, lat_28, 2.0365264, 0.0, 11.768666, 18.609734, 1,  Lateral root,  18, 0.50711
B1_R012.rsml, d60fbba2-ef10-4c74-a746-fabf5533be43, lat_27, 2.2025282, 0.0, 11.866034, 18.64995, 1,  Lateral root,  18, 0.54881984
